District,children_threats,missing_persons_threats,sll_crimes_threats,women_threats
Amethi,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Other Murder']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Amravati,"['Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls']",,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction']"
Amreli,"['Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 8 And 10 Of Pocso Act Girls']",,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Girls Below 18']"
Amritsar,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls', 'Rape']","['female 14 to 18 years', 'female 18 to 30 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Immoral Traffic Prevention']","['Rape Girls Below 18', 'Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Anantapur,"['Section 4 And 6 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls', 'Other Murder']","['female 18 to 30 years', 'female 14 to 18 years', 'male 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Motor Vehicle Act', 'Immoral Traffic Prevention']",
Arvalli,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Other Murder']","['female 18 to 30 years', 'male 18 to 30 years', 'female 30 to 45 years']","['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'The Copy Right Act']","['Cruelty By Husband Or His Relatives', 'Rape Girls Below 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Auraiya,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 8 And 10 Of Pocso Act Girls', 'Rape']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Girls Below 18']"
Aurangabad,"['Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso', 'Other Murder']","['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']","['Protection Of Children From Sexual Offence', 'City Town Police Acts', 'Motor Vehicle Act']","['Rape Girls Below 18', 'Cruelty By Husband Or His Relatives', 'Dowry Deaths']"
Bagalkote,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Prohibition Of Child Marriage']",,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction']"
Bageshwar,"['Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso', 'Other Murder']",No major threats,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']","['Insult To The Modesty Of Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Balaghat,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",,"['Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Balangir,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso']",No major threats,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Immoral Traffic Prevention']",
Baleshwar,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Rape']",No major threats,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Prohibition Of Child Marriage']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction']"
Ballia,"['Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped']",,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Girls Below 18']"
Balod,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",,
Baloda Bazar,"['Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Rape']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",,
Banda,"['Rape', 'Missing Children Deemed As Kidnapped', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Bankura,"['Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 8 And 10 Of Pocso Act Girls']",,,
Barabanki,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'male 5 to 14 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Baramulla,"['Rape', 'Missing Children Deemed As Kidnapped', 'Muder With Rape Pocso']","['female 18 to 30 years', 'female 14 to 18 years', 'female 5 to 14 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Baran,"['Missing Children Deemed As Kidnapped', 'Rape', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']","['female 18 to 30 years', 'male 18 to 30 years', 'female 30 to 45 years']",,
Barmer,"['Rape', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Other Murder']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']","['The Copy Right Act', 'Information Technology Act', 'Prohibition Of Child Marriage']",
Barnala,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 14 to 18 years', 'male 30 to 45 years', 'female 18 to 30 years']",,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Abetment To Suicide Of Women']"
Barpeta,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Prohibition Of Child Marriage']",
Barwani,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'The Chit Funds Acts']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Basti,"['Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls', 'Rape']",,"['Information Technology Act', 'Protection Of Children From Sexual Offence', 'Dowry Prohibition']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Insult To The Modesty Of Women Below 18', 'Rape Women Above 18']"
Bathinda,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,,
Begusarai,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped']",,,
Belagavi,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Other Murder']","['female 18 to 30 years', 'male 30 to 45 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction']"
Bemetara,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']","['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Rape Women Above 18']"
Bengaluru Urban,"['Other Murder', 'Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls']",,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Information Technology Act']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Bhadradri Kothagudem,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 30 to 45 years', 'male 30 to 45 years']",,
Bharatpur,"['Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Copy Right Act']","['Cruelty By Husband Or His Relatives', 'Rape Women Above 18', 'Attempt To Commit Rape Above 18']"
Bharuch,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 12 Of Pocso Act Girls']",,"['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'Information Technology Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Abetment To Suicide Of Women']"
Bhojpur,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']",,,"['Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction', 'Dowry Deaths']"
Bhopal,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 30 to 45 years', 'male 30 to 45 years']","['City Town Police Acts', 'Motor Vehicle Act', 'Protection Of Children From Sexual Offence']",
Bijnor,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']","['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']","['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Information Technology Act']",
Bilaspur,"['Rape', 'Missing Children Deemed As Kidnapped', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']","['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']",,
Birbhum,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped']",,,
Botad,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",,
Boudh,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,,
Budgam,"['Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso', 'Other Murder']",,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Bulandshahr,"['Rape', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Protection Of Women From Domestic Violence']",
Buldhana,"['Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped']",,"['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'Information Technology Act']",
Burhanpur,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,,
Buxar,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls']",,"['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention']",
Cachar,"['Section 4 And 6 Of Pocso Act Girls', 'Child Labour', 'Muder With Rape Pocso']",,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Chandrapur,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'male 18 to 30 years', 'female 30 to 45 years']",,
Chatra,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso']",,"['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Information Technology Act']","['Rape Women Above 18', 'Rape Girls Below 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Chennai,"['Other Murder', 'Human Trafficking Children Only', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'male 30 to 45 years']","['Information Technology Act', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Chhatarpur,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Rape', 'Section 4 And 6 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'City Town Police Acts', 'Information Technology Act']",
Chhotaudepur,"['Section 4 And 6 Of Pocso Act Girls', 'Other Murder', 'Section 8 And 10 Of Pocso Act Girls']",,"['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'Prohibition Of Child Marriage']",
Chirang,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']",,,"['Cruelty By Husband Or His Relatives', 'Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Chitradurga,"['Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls']",,,
Chitrakoot,"['Rape', 'Muder With Rape Pocso', 'Other Murder']",,,
Chittoor,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']",,
Chittorgarh,"['Rape', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Other Murder']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention', 'Information Technology Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Churu,"['Rape', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,,"['Cruelty By Husband Or His Relatives', 'Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Coochbehar,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']",,,
Cuttack,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Rape']",No major threats,"['Information Technology Act', 'Protection Of Children From Sexual Offence', 'Dowry Prohibition']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives']"
Cyber Crime Cell,No major threats,"['female 18 to 30 years', 'male 30 to 45 years', 'female 30 to 45 years']",,
Damoh,"['Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Prohibition Of Child Marriage']","['Kidnapping And Abduction', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives']"
Darjeeling,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']","['female 18 to 30 years', 'male 18 to 30 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention', 'Prohibition Of Child Marriage']",
Darrang,"['Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Prohibition Of Child Marriage']",,,
Datia,"['Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls', 'Rape']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives']"
Davangere,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,,
Deogarh,"['Rape', 'Other Murder', 'Muder With Rape Pocso']",,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Dewas,"['Rape', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Other Murder']",,"['Protection Of Children From Sexual Offence', 'Protection Of Women From Domestic Violence', 'The Copy Right Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Dhamtari,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 30 to 45 years', 'female 14 to 18 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Rape Women Above 18']"
Dhanbad,"['Human Trafficking Children Only', 'Muder With Rape Pocso', 'Other Murder']","['male 30 to 45 years', 'male 18 to 30 years', 'female 14 to 18 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18', 'Cruelty By Husband Or His Relatives']"
Dhar,"['Missing Children Deemed As Kidnapped', 'Rape', 'Section 4 And 6 Of Pocso Act Girls']",,,
Dharmapuri,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']",,"['Protection Of Children From Sexual Offence', 'Motor Vehicle Act', 'Information Technology Act']",
Dharwad,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'male 30 to 45 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Dhenkanal,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Dholpur,"['Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso']",,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Dhule,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 30 to 45 years', 'female 14 to 18 years']","['Protection Of Children From Sexual Offence', 'City Town Police Acts', 'Motor Vehicle Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Abetment To Suicide Of Women']"
Dima Hasao,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Muder With Rape Pocso', 'Other Murder']",,,
Dinajpur Dakshin,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Other Murder']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",,
Dindori,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Dohad,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']",,"['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'Child Labour Prohibition Regulation']",
Dumka,"['Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 8 And 10 Of Pocso Act Girls']","['male 14 to 18 years', 'male 18 to 30 years', 'female 14 to 18 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18', 'Cruelty By Husband Or His Relatives']"
Dungarpur,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,,"['Rape Girls Below 18', 'Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
East,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']",,"['Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
East Godavari,"['Rape', 'Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']",,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Insult To The Modesty Of Women Above 18']"
East Jaintia Hills,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Muder With Rape Pocso']",,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Rape Women Above 18', 'Insult To The Modesty Of Women Below 18', 'Kidnapping And Abduction']"
East Kameng,"['Rape', 'Missing Children Deemed As Kidnapped', 'Muder With Rape Pocso']",,,"['Cruelty By Husband Or His Relatives', 'Abetment To Suicide Of Women', 'Rape Women Above 18']"
East Singhbum,"['Missing Children Deemed As Kidnapped', 'Muder With Rape Pocso', 'Other Murder']",,"['Dowry Prohibition', 'Information Technology Act', 'Protection Of Children From Sexual Offence']",
Eastern West Khasi Hills,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Muder With Rape Pocso']",,,"['Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Murder With Rape Gang Rape']"
Ernakulam,"['Section 4 And 6 Of Pocso Act Girls', 'Human Trafficking Children Only', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']","['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'Information Technology Act']",
Erode,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Prohibition Of Child Marriage']","['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Faridabad,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']","['female 18 to 30 years', 'male 18 to 30 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']","['Cruelty By Husband Or His Relatives', 'Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
